"Task Type","Task ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Points Estimate","Points Estimate Rolled Up","Assigned Tech (labels)","CONTRACTED (checkbox)","DELIVERED (checkbox)","STOCK # (short text)"
"Task","868dvuh8b","Johnson RV","Closed","
","[Ryan Crooks]","HIGH","",0,0,"Friday, May 16th 2025","Thursday, December 26th 2024","Wednesday, May 7th 2025, 4:15:33 pm -07:00","Friday, June 13th 2025, 8:09:55 am -07:00","Friday, June 13th 2025, 8:09:55 am -07:00","Friday, June 13th 2025, 8:09:55 am -07:00","Ryan Crooks","SLATE SCHEDULER","hidden","Schedule","[]","[]","[rvia]","[Schedule]","[]","","","","","","",,0,"","","",""
"Task","868dvukh8","The Natty Dresser","Closed","
","[Ryan Crooks]","NORMAL","Check all parts  ",2,0,"Tuesday, May 13th 2025","Tuesday, May 6th 2025","Wednesday, May 7th 2025, 4:22:03 pm -07:00","Monday, June 23rd 2025, 5:40:01 pm -07:00","Monday, June 23rd 2025, 5:40:01 pm -07:00","Monday, June 23rd 2025, 5:40:01 pm -07:00","Ryan Crooks","SLATE SCHEDULER","hidden","Schedule","[]","[]","[late]","[Schedule]","[]","","","","","","",,0,"","","",""
"Task","868dvukk0","Rich Holland Paint","Closed","
","[Ryan Crooks]","NORMAL","",0,0,"Thursday, May 8th 2025","Monday, May 5th 2025","Wednesday, May 7th 2025, 4:22:13 pm -07:00","Monday, June 23rd 2025, 5:39:47 pm -07:00","Monday, June 23rd 2025, 5:39:47 pm -07:00","Monday, June 23rd 2025, 5:39:47 pm -07:00","Ryan Crooks","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","","",,0,"","","",""
"Task","868dvukk3","Rich Holland Paint","Closed","
","[Ryan Crooks]","NORMAL","",0,0,"Saturday, May 10th 2025","Wednesday, May 7th 2025","Wednesday, May 7th 2025, 4:22:14 pm -07:00","Friday, June 13th 2025, 8:18:12 am -07:00","Friday, June 13th 2025, 8:18:12 am -07:00","Wednesday, May 7th 2025, 4:22:51 pm -07:00","Ryan Crooks","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","","",,0,"","","",""
"Task","868dvum5r","Test Task","Closed","
","[Ryan Crooks]","NORMAL","",0,0,"Wednesday, May 14th 2025","Monday, May 12th 2025","Wednesday, May 7th 2025, 4:24:00 pm -07:00","Tuesday, June 24th 2025, 8:28:56 am -07:00","Tuesday, June 24th 2025, 8:28:56 am -07:00","Tuesday, June 24th 2025, 8:28:56 am -07:00","Ryan Crooks","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","","",,0,"","","",""
"Task","868dzwag8","Mercedes-Benz of Thousand Oaks / Bedrock","Closed","
","[]","HIGH","Seth, tire carrier (STD) and finish Cabinet trim. Sara and Tim please QC van prep for delivery  ",3,0,"Monday, June 30th 2025","Friday, May 16th 2025","Friday, May 16th 2025, 11:15:29 am -07:00","Thursday, July 17th 2025, 4:41:38 pm -07:00","Thursday, July 17th 2025, 4:41:38 pm -07:00","Thursday, July 17th 2025, 4:41:38 pm -07:00","Ryan Crooks","SLATE SCHEDULER","hidden","Schedule","[]","[]","[rvia]","[Schedule]","[]","","","","","","",,0,"[Sarah, Tim, Seth]","","",""
"Task","868ebwxrc","Mercedes-Benz Of Wilsonville / Homberg","Closed","
","[]","NORMAL","D/P T-vent windows - Van is here. Needs to be completed by Monday, end of day.  ",3,0,"Monday, July 7th 2025","Thursday, July 3rd 2025","Thursday, June 12th 2025, 5:13:35 pm -07:00","Tuesday, July 8th 2025, 10:09:29 am -07:00","Tuesday, July 8th 2025, 10:09:29 am -07:00","Tuesday, July 8th 2025, 10:09:29 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","6h","6h",,0,"","","",""
"Task","868ec45xc","Mercedes Benz of Wilsonville / Jacen Moon","Closed","info@slatebuilt.com
Bill-to Customer No.  C0200

Order Confirmation

Hello Mercedes Benz of Wilsonville,

Thank you for your business. Your order confirmation is attached to this message.

Order No.
Due Date
Total USD

S-ORD101065

June 20, 2025

2,343.96







Sincerely,



Slate

19400 SE McLoughlin Blvd

Gladstone, OR 97027

USA








","[]","none","",0,0,"Wednesday, June 18th 2025","","Friday, June 13th 2025, 9:50:10 am -07:00","Tuesday, June 24th 2025, 8:29:32 am -07:00","Tuesday, June 24th 2025, 8:29:32 am -07:00","Tuesday, June 24th 2025, 8:29:32 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","","",,0,"","","","PT144991"
"Task","868eg2g7p","Lion Roofing","Closed","
","[]","NORMAL","",0,0,"Tuesday, July 1st 2025","","Monday, June 23rd 2025, 5:10:06 pm -07:00","Wednesday, June 25th 2025, 2:53:16 pm -07:00","Wednesday, June 25th 2025, 2:53:16 pm -07:00","Wednesday, June 25th 2025, 2:53:16 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h 30m","2h 30m",,0,"","","",""
"Task","868eg30f2","Mercedes Benz of Wilsonville / Trinity Flooring","Closed","
","[]","NORMAL","Shelves  ",1,0,"Wednesday, June 25th 2025","","Monday, June 23rd 2025, 6:06:38 pm -07:00","Wednesday, June 25th 2025, 4:39:34 pm -07:00","Wednesday, June 25th 2025, 4:39:34 pm -07:00","Wednesday, June 25th 2025, 4:39:34 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3h","3h",,0,"","","",""
